40	6496	0	1
40	6496	1	1
40	7481	0	1
40	7481	1	1
40	7751	0	1
40	7751	1	1
40	8064	0	1
40	8064	1	1
40	8247	0	1
40	8247	1	1
40	8273	0	1
40	8273	1	1
40	8273	2	1
40	9496	0	1
40	9496	1	1
40	10315	0	1
40	10315	1	1
40	11987	0	1
40	11987	1	1
40	12743	0	1
40	12743	1	1
40	13237	0	1
40	14124	1	1
40	15479	0	1
40	16334	0	1
40	16334	1	1
40	18354	0	1
40	21225	0	1
89	10237	0	0
89	10237	1	0
89	11610	0	0
89	11610	1	0
89	12137	0	0
89	12137	1	0
89	12951	0	0
89	12951	1	0
89	16474	0	0
89	16474	1	0
108	19054	0	0
108	19054	1	0
161	9295	0	3
161	9295	2	3
161	21917	0	3
161	21917	2	3
267	9116	0	4
267	11771	0	4
267	13526	0	1
267	14069	0	4
267	14069	2	4
267	14986	0	4
267	14986	2	4
267	18341	0	4
267	18341	2	4
301	6317	0	3
301	6317	1	3
301	6826	0	1
301	6826	1	1
301	6996	0	2
301	7179	0	3
301	7179	1	3
301	8267	0	3
301	8844	0	3
301	8844	1	3
301	8860	0	1
301	8860	1	1
301	9781	0	1
301	9781	1	1
301	9803	0	3
301	9803	1	3
301	10210	0	1
301	10210	1	1
301	10505	0	3
301	10505	1	3
301	11401	0	1
301	12322	0	3
301	12322	1	3
301	12334	0	1
301	12350	0	3
301	12350	1	3
301	12404	0	1
301	12404	1	1
301	12908	0	1
301	12908	1	1
301	14044	0	1
301	14651	0	1
301	14651	1	1
301	15573	0	3
301	15578	0	3
301	15578	1	3
301	15717	0	1
301	15717	1	1
301	16320	0	3
301	16320	1	3
301	16759	0	1
301	16759	1	1
301	16910	0	1
301	16910	1	1
301	18436	0	1
301	18436	1	1
301	19072	0	2
301	19072	1	2
301	19615	0	1
301	19615	1	1
301	19699	0	3
301	19699	1	3
301	20061	0	2
301	20061	1	2
301	20080	0	2
301	20080	1	2
301	20780	0	3
301	20780	1	3
301	20928	0	1
521	15686	0	2
521	22096	0	3
521	22096	2	3
521	22103	0	3
521	22103	2	3
521	22195	0	3
521	22195	2	3
521	22341	0	3
697	11028	0	3
697	11028	1	3
697	11232	0	3
697	11232	1	3
697	11764	0	3
697	11819	0	3
697	11819	1	3
697	12640	0	3
697	12640	1	3
697	14725	0	3
697	14733	0	3
731	22618	0	3
731	22618	1	3
731	22618	2	3
731	9670	0	3
731	9670	1	3
731	9703	0	3
731	9703	1	3
731	10573	0	3
731	10573	1	3
731	12127	0	3
731	12127	1	3
731	17200	0	3
731	17200	1	3
731	22008	0	3
763	17934	0	1
763	17934	1	1
763	20891	0	1
836	7192	0	2
836	7192	1	2
836	11309	0	2
836	11309	1	2
1084	13273	0	1
1084	13273	1	1
1084	17241	0	1
1084	17241	1	1
1208	6065	0	3
1208	12770	0	3
1208	13633	0	3
1208	13633	1	3
1208	13633	2	3
1307	6118	0	4
1307	6118	1	4
1307	6512	0	4
1307	6512	1	4
1307	6704	0	4
1307	6704	1	4
1307	7741	0	4
1307	7741	1	4
1307	13500	0	4
1307	13500	1	4
1307	13641	0	4
1307	13641	1	4
1307	13919	0	4
1307	13919	1	4
1307	13927	0	4
1307	13927	1	4
1307	21005	0	4
1307	21005	1	4
1325	14715	0	0
1325	14715	2	0
1372	8227	0	3
1372	8227	1	3
1372	8932	0	3
1372	8932	1	3
1372	11489	0	3
1372	21206	0	3
1372	22302	0	3
1372	22302	1	3
1375	7133	0	3
1375	18553	0	3
1375	18553	1	3
